Online boarding,Delay Ratio,Inflight wifi service,Class,Type of Travel,Inflight entertainment,Flight Distance,Seat comfort,Leg room service,On-board service,Cleanliness,Ease of Online booking,satisfaction
5,0.005442999697611128,5,0,0,5,3306.0,5,3,5,5,5,1
2,0.1417233560090703,1,1,1,4,440.0,1,1,4,2,1,0
3,0.10575296108291032,3,1,0,1,590.0,2,3,2,1,3,0
5,0.0,4,0,0,4,3354.0,4,4,4,4,4,1
3,0.0,2,1,1,3,2586.0,3,5,2,3,1,0
4,0.0,4,1,0,4,1587.0,4,5,3,4,2,0
1,0.0,2,0,0,1,641.0,1,5,4,1,1,0
2,0.07291666666666667,2,1,0,3,479.0,3,4,1,3,2,0
3,0.0,3,1,0,3,546.0,3,3,3,3,3,1
1,0.001310615989515072,2,1,0,3,762.0,3,2,1,3,1,0
4,0.0,5,0,0,4,2751.0,4,4,4,4,1,1
3,0.0,3,1,1,3,271.0,2,4,1,3,3,0
4,0.017356475300400534,5,0,0,4,2246.0,5,4,4,4,5,1
4,0.0,4,1,1,5,1037.0,4,3,1,5,4,1
5,0.0,3,0,0,4,2244.0,5,4,4,4,1,1
2,0.0,5,0,0,4,3110.0,2,4,4,5,4,1
3,0.0009115770282588879,3,1,1,3,1096.0,3,1,4,3,3,0
3,0.0,3,1,0,1,589.0,1,3,1,1,3,0
4,0.0,4,0,0,4,1856.0,5,4,4,5,4,1
3,0.00676818950930626,3,1,1,3,590.0,3,2,3,3,3,0
1,0.0,1,1,0,5,874.0,5,5,4,5,1,0
1,0.010416666666666666,2,1,1,4,479.0,1,3,3,4,1,0
1,0.0,1,2,0,5,1399.0,5,5,5,5,1,0
4,0.01584592881521209,3,0,0,4,2050.0,5,4,4,5,3,1
4,0.012004001333777926,5,0,0,4,2998.0,5,4,4,4,5,1
2,0.029015784586815228,2,1,1,4,2153.0,2,4,5,2,2,0
4,0.0,3,0,0,4,2251.0,4,2,4,4,3,1
4,0.007997218358831711,2,0,0,4,2875.0,4,4,4,4,2,1
4,0.0,4,1,1,1,1009.0,1,3,4,1,4,0
5,0.005494505494505495,5,1,0,5,545.0,4,5,1,5,5,1
1,0.0,1,1,0,2,1797.0,3,2,2,2,1,0
3,0.0,3,1,0,3,780.0,3,2,2,3,2,0
2,0.0,2,1,1,3,338.0,3,2,4,3,2,0
2,0.005042016806722689,2,2,0,1,594.0,4,1,1,1,2,0
4,0.0,5,0,0,5,419.0,4,5,5,3,5,1
4,0.09125,4,2,0,4,399.0,4,4,2,4,5,0
3,0.036231884057971016,3,1,1,1,551.0,4,3,1,4,3,0
1,0.0,2,1,0,3,337.0,3,3,4,3,1,0
4,0.0,2,1,1,1,312.0,4,2,1,5,2,0
4,0.0,3,0,0,3,3085.0,4,4,3,4,3,1
5,0.0,5,1,0,5,2419.0,5,4,1,5,2,1
3,0.19778481012658228,3,1,1,2,315.0,4,1,4,2,3,0
2,0.0023446658851113715,2,1,0,5,852.0,5,2,5,5,2,0
3,0.06721536351165981,2,0,0,5,728.0,5,4,4,5,3,0
2,0.20833333333333334,3,1,0,1,299.0,3,3,1,3,3,0
2,0.0,2,1,1,5,406.0,5,2,3,5,2,0
3,0.035919540229885055,3,0,0,3,1739.0,3,2,3,2,4,0
2,0.0,2,1,1,5,326.0,5,5,1,5,2,0
4,0.0,1,0,0,1,1416.0,3,1,1,2,4,0
4,0.0,1,0,0,4,826.0,4,4,3,4,4,1
4,0.0,3,0,0,4,1501.0,4,4,5,4,3,1
2,0.0033250207813798837,2,0,0,3,2405.0,2,3,2,2,1,0
2,0.0,2,0,0,2,735.0,2,1,4,2,1,0
3,0.0,3,0,0,2,502.0,2,3,3,2,3,0
2,0.05991735537190083,2,1,1,3,483.0,3,5,4,3,2,0
2,0.004166666666666667,2,0,0,3,239.0,3,5,5,3,2,0
1,0.0,1,1,1,4,308.0,2,3,1,4,1,0
1,0.0,1,2,1,1,432.0,1,5,4,1,1,0
5,0.0023584905660377358,3,1,1,4,423.0,4,3,4,4,3,0
4,0.0,3,0,0,5,895.0,5,5,5,5,3,1
4,0.0012831479897348161,5,0,0,5,2337.0,4,5,5,5,5,1
3,0.0,3,0,0,5,2521.0,4,5,5,3,3,1
3,0.01682085786375105,3,1,1,5,1188.0,1,1,2,5,3,0
3,0.000992063492063492,1,0,0,5,2015.0,1,5,5,2,2,1
5,0.0,3,0,0,5,2368.0,3,5,5,1,3,1
5,0.0,4,1,1,3,2161.0,4,3,3,4,3,1
3,0.02910958904109589,4,1,0,3,1167.0,3,4,3,3,3,0
3,0.0,5,0,0,4,1966.0,5,4,4,1,5,1
1,0.0,1,0,1,5,548.0,2,1,5,3,1,0
3,0.0,3,1,0,5,231.0,5,1,2,5,3,0
3,0.09129692832764505,3,0,0,3,585.0,3,2,3,3,3,0
4,0.12755102040816327,4,1,1,4,489.0,4,4,1,4,4,0
3,0.11322463768115942,3,1,1,2,551.0,4,1,4,2,3,0
0,0.2648305084745763,3,1,1,4,235.0,4,1,4,4,0,0
2,0.05384615384615385,2,2,0,2,909.0,2,5,4,2,5,0
1,0.0,1,1,0,1,468.0,4,1,2,1,1,0
3,0.40584415584415584,3,1,1,5,153.0,5,2,3,5,3,0
1,0.0,4,0,0,4,448.0,3,4,4,4,4,1
3,0.3125,3,1,1,3,199.0,3,3,5,3,3,0
4,0.08461538461538462,4,1,1,5,129.0,5,3,3,5,4,0
2,0.022022022022022022,2,1,0,2,998.0,2,5,1,2,2,0
2,0.020637898686679174,2,0,0,2,532.0,3,2,2,3,3,0
4,0.0012626262626262627,2,0,0,4,2375.0,4,4,4,4,2,1
4,0.006097560975609756,4,1,1,2,163.0,2,1,1,2,4,0
1,0.16049382716049382,1,1,1,3,323.0,1,2,3,3,1,0
3,0.0,4,2,0,4,672.0,4,3,2,4,3,0
4,0.00047460844803037496,4,1,1,5,2106.0,5,2,3,5,4,1
3,0.0,1,0,0,1,2142.0,4,1,1,1,2,0
1,0.00267379679144385,1,1,1,4,373.0,4,5,4,4,1,0
4,0.001226993865030675,4,0,0,5,814.0,5,5,5,4,4,1
1,0.17029972752043596,1,1,0,1,366.0,1,2,1,1,5,0
2,0.0,1,1,1,5,308.0,5,2,4,5,2,0
2,0.0,2,1,1,1,531.0,1,3,3,1,2,0
3,0.05037783375314862,3,1,1,2,396.0,2,3,4,2,3,0
4,0.0,4,0,0,3,1134.0,1,4,3,1,5,1
2,0.004166666666666667,2,1,0,4,239.0,4,1,2,4,2,0
3,0.03802588996763754,3,0,0,4,1235.0,3,1,2,4,3,0
3,0.0,2,1,1,3,1014.0,4,2,3,1,2,0
4,0.005908419497784343,4,1,0,3,1353.0,3,3,4,3,5,0
2,0.009953550099535502,2,0,0,2,1506.0,2,2,2,1,5,0
2,0.0,2,1,1,2,295.0,2,4,4,2,2,0
0,0.0,3,1,1,4,248.0,5,5,3,4,0,0
2,0.0,2,1,1,4,502.0,4,3,4,4,2,0
3,0.0,3,1,0,3,290.0,5,4,5,3,3,0
1,0.00891089108910891,1,1,0,2,1009.0,2,4,1,2,2,0
5,0.0078125,5,0,0,4,895.0,4,3,3,4,5,1
3,0.0,2,0,0,3,200.0,2,4,3,1,2,1
1,0.0,1,1,1,2,970.0,2,4,5,2,1,0
2,0.08311170212765957,2,1,0,2,751.0,2,3,2,2,2,1
3,0.0,2,0,0,3,1642.0,1,4,3,4,2,1
1,0.0,1,1,1,1,1514.0,1,2,4,1,1,0
4,0.024271844660194174,2,0,0,5,2574.0,5,5,5,4,4,1
3,0.0009765625,3,1,1,2,1023.0,5,4,1,2,3,0
5,0.0,5,0,0,5,1715.0,5,2,5,5,5,1
4,0.8445945945945946,2,2,1,1,73.0,5,2,1,3,2,0
2,0.005274261603375527,4,0,0,4,2843.0,3,4,4,1,4,1
3,0.0,3,1,1,5,641.0,1,2,3,5,3,0
1,0.07920792079207921,0,0,0,5,201.0,4,3,5,5,0,1
4,0.005484460694698354,4,0,0,5,546.0,4,5,5,3,4,1
2,0.0,2,1,0,1,883.0,3,5,5,1,2,0
2,0.14457831325301204,2,1,1,2,414.0,3,2,3,2,2,0
2,0.10746268656716418,2,1,1,5,334.0,5,2,3,5,2,0
5,0.004,2,0,0,4,749.0,5,4,4,3,2,1
4,0.0,3,0,0,4,936.0,5,4,4,4,3,1
5,0.0,5,0,0,5,738.0,5,5,4,5,5,1
4,0.0,3,1,1,5,696.0,5,3,5,5,3,0
5,0.0012277470841006752,3,0,0,5,3257.0,4,5,5,5,1,1
3,0.0431266846361186,3,1,0,3,370.0,2,2,4,3,3,0
5,0.0,2,0,0,4,1431.0,4,4,4,5,2,1
3,0.0,3,0,0,3,2565.0,5,3,3,4,1,1
4,0.0,5,0,0,5,1242.0,4,5,5,3,5,1
2,0.014021312394840156,2,0,0,2,1782.0,2,1,2,2,5,0
4,0.14444444444444443,4,2,1,1,89.0,1,3,2,1,4,0
3,0.10557432432432433,3,1,0,3,591.0,3,1,1,3,3,1
3,0.7183908045977011,1,1,1,4,86.0,3,1,4,5,1,0
3,0.0,3,1,1,4,405.0,4,1,5,4,3,0
1,0.0,4,1,0,4,230.0,1,4,4,1,3,1
5,0.0,0,0,0,3,325.0,4,3,3,4,0,1
1,0.12993762993762994,1,1,1,2,480.0,2,2,2,2,1,0
5,0.0,0,0,0,3,328.0,4,3,3,2,0,1
3,0.03546099290780142,2,1,1,1,140.0,4,0,1,3,0,0
5,0.0,4,0,0,5,460.0,4,5,5,4,5,1
4,0.009630818619582664,3,0,0,5,622.0,5,5,5,4,2,1
1,0.0,1,1,0,1,599.0,1,3,1,1,3,0
4,0.012900540990428632,1,0,0,5,2402.0,5,5,5,4,1,1
3,0.05185185185185185,5,0,0,3,134.0,3,3,3,3,5,1
4,0.010406811731315043,4,1,1,5,1056.0,5,5,5,5,4,0
2,0.009109311740890687,3,1,1,5,987.0,5,4,3,5,2,0
3,0.0,3,1,0,1,147.0,1,3,1,1,3,0
2,0.03802588996763754,2,2,0,1,1235.0,1,1,2,1,2,0
1,0.019698725376593278,1,1,1,5,862.0,5,2,3,5,1,0
5,0.004601226993865031,2,1,1,5,1303.0,4,2,5,5,2,0
5,0.29205607476635514,1,1,1,4,213.0,5,4,5,5,1,0
3,0.03201970443349754,3,1,0,4,1014.0,4,2,4,4,3,0
3,0.0033003300330033004,3,1,0,3,302.0,3,3,2,3,3,0
4,0.007673667205169628,5,0,0,5,2475.0,4,4,3,4,5,1
3,0.0,2,0,0,5,3726.5,4,5,5,2,3,1
4,0.006508422664624809,2,1,1,3,2611.0,4,2,3,4,2,0
2,0.0,2,2,0,2,2329.0,4,3,3,2,5,0
2,0.008174386920980926,2,0,0,2,366.0,2,3,4,2,3,0
3,0.0,3,1,1,2,888.0,2,3,4,2,3,0
4,0.0,4,1,0,3,632.0,1,1,3,3,4,0
2,0.019566526189042744,2,1,1,5,1660.0,5,2,3,5,2,0
3,0.10399334442595674,3,1,0,2,600.0,2,5,5,2,3,0
4,0.005208333333333333,1,0,0,4,1535.0,5,4,4,3,1,1
3,0.02068126520681265,2,1,1,4,821.0,4,2,4,4,2,0
4,0.039761431411530816,4,1,0,1,502.0,1,3,4,1,4,0
3,0.0,3,0,0,4,783.0,4,3,5,4,3,0
5,0.014112903225806451,5,0,0,4,1487.0,4,4,4,5,5,1
4,0.0030360531309297912,3,0,0,4,2634.0,4,4,4,5,3,1
1,0.09245562130177515,1,1,0,1,675.0,4,1,3,1,4,0
3,0.32222222222222224,3,1,1,1,89.0,3,2,1,1,3,0
5,0.017937219730941704,3,0,0,4,668.0,4,4,4,5,1,1
4,0.006109979633401222,4,1,1,5,2454.0,5,5,4,5,4,0
2,0.0044943820224719105,2,1,1,3,444.0,3,5,3,3,2,0
2,0.05093724531377343,2,1,1,1,1226.0,1,3,4,1,2,0
4,0.009857612267250822,3,1,0,3,912.0,3,3,3,4,3,0
4,0.0,4,2,0,4,347.0,4,5,4,4,4,1
5,0.06746987951807229,5,0,0,4,414.0,5,4,4,3,5,1
4,0.0,3,0,0,4,3726.5,4,2,5,4,3,1
3,0.0962671905697446,3,2,1,3,508.0,2,4,3,3,3,0
1,0.02422145328719723,1,1,1,2,1733.0,2,4,4,2,1,0
1,0.036243822075782535,1,0,0,1,606.0,1,4,3,1,1,0
4,0.0,4,0,0,1,1042.0,2,3,5,1,4,1
3,0.0,3,1,1,4,577.0,5,4,3,4,3,0
5,0.0,4,0,0,5,2763.0,2,4,5,3,4,1
3,0.0,3,1,0,3,1498.0,3,2,5,3,3,0
5,0.06749460043196544,4,2,1,1,925.0,1,5,3,1,5,0
4,0.0,1,0,0,4,2848.0,4,2,4,4,1,1
3,0.03389830508474576,3,1,0,4,589.0,4,5,2,4,3,0
5,0.0,4,0,0,4,2139.0,4,4,4,3,4,1
4,0.0,2,0,0,4,3559.0,4,4,4,3,2,1
4,0.09296482412060302,2,1,1,1,397.0,3,2,1,2,2,0
3,0.0,2,0,0,2,2777.0,4,2,2,1,1,0
4,0.005800981704596163,4,0,0,5,2240.0,5,5,5,3,4,1
2,0.00516795865633075,2,1,1,4,1547.0,4,4,4,4,2,0
1,0.0,1,1,1,4,985.0,3,3,5,4,1,0
5,0.0,4,1,0,4,964.0,5,4,4,4,2,1
5,0.0026138909634055266,2,1,0,2,2677.0,3,2,2,3,4,1
1,0.0,2,1,0,3,101.0,3,1,5,3,1,0
3,0.08661417322834646,3,1,0,3,253.0,3,1,4,3,3,0
4,0.0,3,0,0,4,1891.0,4,1,1,4,3,1
5,0.0,2,0,0,5,1617.0,5,5,5,3,2,1
2,0.10364842454394693,2,0,0,4,602.0,4,2,3,4,2,0
4,0.0,2,0,0,4,892.0,4,4,4,5,5,1
4,0.038910505836575876,4,1,0,4,770.0,4,2,2,4,1,1
3,0.0,3,1,1,5,200.0,3,0,5,4,0,0
3,0.11190476190476191,2,0,0,2,419.0,3,2,2,1,2,0
5,0.003401360544217687,5,1,0,5,293.0,5,3,3,5,1,1
1,0.11200716845878136,1,0,0,1,557.0,1,5,3,1,5,0
1,0.004876727174207532,1,0,0,1,3690.0,1,4,3,1,1,0
4,0.0,4,1,0,4,303.0,4,5,5,4,2,1
5,0.003778337531486146,3,0,0,5,1587.0,5,4,3,5,3,1
5,0.010671688637790333,5,0,0,5,1592.0,5,3,5,5,5,1
2,0.10638297872340426,1,2,0,1,516.0,3,1,1,3,5,0
4,0.0,3,0,0,5,3518.0,5,5,5,5,3,1
1,0.0,1,1,0,1,1174.0,1,4,3,1,2,0
1,0.0,1,1,1,3,371.0,3,5,2,3,1,0
4,0.05185185185185185,4,0,0,2,134.0,2,2,3,2,4,0
4,0.015789473684210527,3,1,1,3,569.0,3,3,3,1,3,0
5,0.013916500994035786,5,0,0,5,1005.0,5,1,1,5,5,1
5,0.0011019283746556473,1,0,0,4,3629.0,5,4,4,3,1,1
2,0.0,2,1,0,5,1050.0,5,3,1,5,2,0
1,0.0,1,0,1,3,419.0,3,5,1,3,1,0
4,0.0,4,1,1,5,370.0,5,3,1,5,4,0
4,0.0,2,0,0,4,1683.0,4,4,4,5,2,1
3,0.007667031763417305,3,1,1,5,912.0,5,3,3,5,3,0
5,0.07222222222222222,5,1,0,5,359.0,5,3,5,5,3,1
5,0.08484848484848485,0,1,1,2,164.0,4,0,2,4,0,1
4,0.005717552887364208,3,0,0,4,1748.0,4,4,4,3,3,1
1,0.31094527363184077,4,0,0,1,200.0,4,1,1,1,1,0
5,0.0,5,0,0,5,361.0,5,3,4,5,5,1
2,0.01218369259606373,2,1,0,1,1066.0,2,2,1,2,5,0
4,0.0,4,1,1,2,986.0,2,4,4,2,4,0
4,0.0,4,0,0,2,591.0,2,4,3,2,4,1
2,0.0,2,1,1,3,590.0,3,2,5,3,2,0
4,0.04,0,1,1,1,299.0,4,0,1,4,0,1
5,0.0,5,1,0,5,157.0,5,3,2,5,4,1
5,0.0,5,0,0,5,3179.0,4,5,5,4,5,1
4,0.0,3,0,0,4,1970.0,4,5,4,4,3,1
3,0.0,2,1,0,2,106.0,3,2,2,4,5,1
4,0.0,3,0,0,5,2320.0,2,5,5,4,3,1
3,0.06181998021760633,2,1,0,2,1010.0,2,5,4,2,3,0
4,0.0,4,0,0,4,3496.0,4,5,3,4,5,1
4,0.0,4,1,0,4,1242.0,4,3,3,4,4,1
3,0.0,2,1,0,1,692.0,1,1,3,1,3,0
5,0.15943877551020408,3,1,1,1,391.0,3,3,1,3,3,0
3,0.0,3,0,0,3,3351.0,3,3,3,3,2,0
2,0.02825497287522604,1,0,0,3,2211.0,2,3,3,1,1,0
3,0.03318903318903319,3,1,1,1,692.0,1,2,5,1,3,0
2,0.008628127696289905,2,1,1,5,1158.0,5,3,2,5,2,0
3,0.0,3,0,0,3,337.0,3,4,5,3,3,0
2,0.05841121495327103,2,1,1,3,1069.0,2,4,2,2,2,0
4,0.0,2,0,0,5,1869.0,4,5,5,3,2,1
4,0.0,0,0,0,5,3689.0,1,5,5,1,0,1
5,0.01777970511708586,5,0,0,4,3458.0,4,4,4,5,5,1
4,0.0,5,0,0,4,3447.0,4,4,2,4,5,1
3,0.0,2,1,1,4,563.0,4,2,5,4,3,0
2,0.0,2,1,1,1,731.0,1,1,3,1,2,0
4,0.0,0,0,0,2,226.0,4,2,2,4,0,1
2,0.0,2,1,1,2,1172.0,2,4,4,2,2,0
4,0.0,4,1,1,5,453.0,5,2,3,5,4,0
3,0.38109756097560976,3,1,1,2,163.0,2,4,4,2,3,0
4,0.0,4,1,0,4,954.0,4,4,5,4,2,1
3,0.0,3,1,1,3,342.0,1,5,4,3,3,0
5,0.0036781609195402297,1,0,0,4,2174.0,4,4,2,4,1,1
5,0.0,4,0,0,4,1426.0,5,4,4,4,4,1
1,0.02524232633279483,1,1,1,2,2475.0,2,5,4,2,1,0
3,0.0008984725965858042,2,1,0,3,1112.0,3,5,5,3,3,0
2,0.0,2,1,0,3,588.0,3,2,3,3,2,0
3,0.021825396825396824,3,0,0,4,503.0,4,2,5,4,3,0
4,0.0,2,0,0,2,1617.0,4,2,2,1,2,1
4,0.1,2,0,0,5,89.0,4,5,5,4,2,1
3,0.017409470752089137,1,0,0,3,2153.0,5,3,3,3,1,1
0,0.0,2,1,1,4,120.0,4,4,2,4,0,0
3,0.16937669376693767,2,1,1,3,368.0,3,2,3,4,2,0
3,0.010416666666666666,1,0,0,4,671.0,5,4,4,3,1,1
3,0.013235294117647059,3,2,1,2,679.0,2,3,5,2,3,0
3,0.0,3,0,0,5,1609.0,5,5,4,5,3,0
0,0.0,1,1,1,4,116.0,4,1,3,4,0,0
3,0.013616339607529036,3,0,0,3,2496.0,3,3,3,3,3,0
3,0.007817811012916384,3,0,0,3,2941.0,3,4,1,3,3,0
4,0.0058309037900874635,4,1,1,3,342.0,3,3,4,3,4,0
4,0.06749460043196544,4,1,0,4,925.0,4,4,2,4,4,1
5,0.06793478260869565,1,0,0,4,919.0,4,4,4,4,1,1
3,0.0,3,1,0,5,1091.0,5,3,2,5,3,0
5,0.012381226605240426,1,0,0,5,3472.0,5,3,4,5,1,1
5,0.0,5,0,0,5,3614.0,5,1,2,5,5,1
5,0.0,5,2,0,5,315.0,5,1,1,5,5,1
5,0.0,5,0,0,4,247.0,4,4,4,4,5,1
5,0.05181347150259067,5,1,0,5,192.0,5,5,4,5,2,1
4,0.03508771929824561,4,0,1,1,968.0,1,4,5,1,4,0
4,0.0,0,0,0,5,134.0,5,5,5,3,0,1
4,0.01696525515743757,3,0,0,4,3683.0,4,2,2,4,1,1
3,0.0,3,1,1,3,605.0,3,3,5,3,3,0
4,0.026438569206842923,4,0,0,3,642.0,2,3,3,3,4,1
4,0.016778523489932886,2,0,0,2,3724.0,4,2,2,2,5,0
4,0.032846715328467155,3,1,0,3,547.0,4,3,3,3,4,0
2,0.012298232129131437,2,1,0,3,1300.0,3,2,2,3,2,0
2,0.0019598236158745713,1,0,0,5,2040.0,5,5,5,2,1,1
2,0.0,4,2,1,3,948.0,3,4,3,4,4,1
2,0.09828009828009827,2,1,1,5,406.0,1,5,2,5,2,0
5,0.0,5,1,1,5,271.0,5,2,1,5,5,1
1,0.005793742757821553,1,1,1,1,862.0,2,5,4,1,1,0
2,0.0,2,1,1,2,237.0,2,3,5,2,2,0
4,0.0,3,0,0,5,255.0,4,5,5,3,3,1
4,0.003420265070542967,3,0,0,4,2338.0,5,4,4,4,3,1
5,0.0,2,0,0,1,3119.0,5,2,1,4,4,1
